Time,Horizon,Shot_duration,Model_Detail,Problem,NumShotsInSummary,counter wrac1_y_wrbc1,counter wrbc1_b_wrcc1,counter wrcc1_x_wrdc1,counter wrdc1_b_wrec1,counter wrec1_y_wrfc1,Total,Encoding
0.0,900,100.0,2,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,,,,,,,,multi_shot
163.69,900,100.0,2,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,9.0,30808380.0,20793600.0,,,,51601980.0,multi_shot
0.0,900,100.0,2,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,,,,,,,,multi_shot
114.15,900,100.0,2,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,9.0,30748660.0,20793600.0,22494180.0,20780700.0,,94817140.0,multi_shot
212.49,900,100.0,2,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,9.0,30714900.0,20736000.0,22449480.0,20483100.0,24448600.0,118832080.0,multi_shot
0.0,900,100.0,2,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,,,,,,,,multi_shot
0.0,900,100.0,2,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,,,,,,,,multi_shot
0.0,900,100.0,2,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,,,,,,,,multi_shot
0.0,900,100.0,2,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,,,,,,,,multi_shot
216.2,900,100.0,2,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,9.0,28959200.0,21329400.0,25323400.0,32959600.0,35772600.0,144344200.0,multi_shot
0.0,900,100.0,2,./Instancesv2/sippv2/fixlen4/26morn/p01[count=350].lp,,,,,,,,multi_shot
0.0,900,100.0,2,./Instancesv2/sippv2/fixlen4/26morn/p02[count=350].lp,,,,,,,,multi_shot
0.0,900,100.0,2,./Instancesv2/sippv2/fixlen4/26morn/p03[count=350].lp,,,,,,,,multi_shot
0.0,900,100.0,2,./Instancesv2/sippv2/fixlen4/26morn/p04[count=350].lp,,,,,,,,multi_shot
0.0,900,100.0,2,./Instancesv2/sippv2/fixlen4/26morn/p05[count=350].lp,,,,,,,,multi_shot
0.0,900,100.0,2,./Instancesv2/sippv2/fixlen4/26noon/p01[count=350].lp,,,,,,,,multi_shot
680.31,900,100.0,2,./Instancesv2/sippv2/fixlen4/26noon/p02[count=350].lp,9.0,30459280.0,22348800.0,,,,52808080.0,multi_shot
0.0,900,100.0,2,./Instancesv2/sippv2/fixlen4/26noon/p03[count=350].lp,,,,,,,,multi_shot
140.36,900,100.0,2,./Instancesv2/sippv2/fixlen4/26noon/p04[count=350].lp,9.0,30228720.0,21427200.0,22195080.0,21691700.0,,95542700.0,multi_shot
0.0,900,100.0,2,./Instancesv2/sippv2/fixlen4/26noon/p05[count=350].lp,,,,,,,,multi_shot
0.0,900,100.0,2,./Instancesv2/sippv2/fixlen4/30eve/p01[count=350].lp,,,,,,,,multi_shot
486.66,900,100.0,2,./Instancesv2/sippv2/fixlen4/30eve/p02[count=350].lp,9.0,20423660.0,16992000.0,,,,37415660.0,multi_shot
0.0,900,100.0,2,./Instancesv2/sippv2/fixlen4/30eve/p03[count=350].lp,,,,,,,,multi_shot
0.0,900,100.0,2,./Instancesv2/sippv2/fixlen4/30eve/p04[count=350].lp,,,,,,,,multi_shot
0.0,900,100.0,2,./Instancesv2/sippv2/fixlen4/30eve/p05[count=350].lp,,,,,,,,multi_shot
555.62,900,100.0,2,./Instancesv2/sippv2/fixlen4/30morn/p01[count=350].lp,9.0,10351260.0,,,,,10351260.0,multi_shot
0.0,900,100.0,2,./Instancesv2/sippv2/fixlen4/30morn/p02[count=350].lp,,,,,,,,multi_shot
509.33,900,100.0,2,./Instancesv2/sippv2/fixlen4/30morn/p03[count=350].lp,9.0,10351260.0,8179200.0,9670000.0,,,28200460.0,multi_shot
177.36,900,100.0,2,./Instancesv2/sippv2/fixlen4/30morn/p04[count=350].lp,9.0,10051260.0,8064000.0,9580600.0,8734700.0,,36430560.0,multi_shot
393.48,900,100.0,2,./Instancesv2/sippv2/fixlen4/30morn/p05[count=350].lp,9.0,10116860.0,8294400.0,9714700.0,8749200.0,9087500.0,45962660.0,multi_shot
0.0,900,100.0,2,./Instancesv2/sippv2/fixlen4/30noon/p01[count=350].lp,,,,,,,,multi_shot
429.94,900,100.0,2,./Instancesv2/sippv2/fixlen4/30noon/p02[count=350].lp,9.0,29750540.0,21484800.0,,,,51235340.0,multi_shot
0.0,900,100.0,2,./Instancesv2/sippv2/fixlen4/30noon/p03[count=350].lp,,,,,,,,multi_shot
0.0,900,100.0,2,./Instancesv2/sippv2/fixlen4/30noon/p04[count=350].lp,,,,,,,,multi_shot
291.5,900,100.0,2,./Instancesv2/sippv2/fixlen4/30noon/p05[count=350].lp,9.0,31356000.0,21312000.0,22132040.0,21376700.0,22953800.0,119130540.0,multi_shot
0.0,900,100.0,0,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,,,,,,,,multi_shot
0.0,900,100.0,0,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,,,,,,,,multi_shot
0.0,900,100.0,0,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,,,,,,,,multi_shot
0.0,900,100.0,0,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,,,,,,,,multi_shot
0.0,900,100.0,0,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,,,,,,,,multi_shot
0.0,900,100.0,0,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,,,,,,,,multi_shot
