Time,Horizon,Shot_duration,Model_Detail,Problem,NumShotsInSummary,counter wrac1_y_wrbc1,counter wrbc1_b_wrcc1,counter wrcc1_x_wrdc1,counter wrdc1_b_wrec1,counter wrec1_y_wrfc1,Total,Encoding
162.72,900,150.0,2,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,6.0,29019180.0,19123200.0,21644880.0,,,69787260.0,multi_shot
0.0,900,150.0,2,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,,,,,,,,multi_shot
272.33,900,150.0,2,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,6.0,30278960.0,20736000.0,22181280.0,20153600.0,24283800.0,117633640.0,multi_shot
0.0,900,150.0,2,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,,,,,,,,multi_shot
0.0,900,150.0,2,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,,,,,,,,multi_shot
0.0,900,150.0,2,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,,,,,,,,multi_shot
381.69,900,150.0,2,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,6.0,28129600.0,20955800.0,25323400.0,31892300.0,,106301100.0,multi_shot
0.0,900,150.0,2,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,,,,,,,,multi_shot
0.0,900,150.0,0,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,,,,,,,,multi_shot
0.0,900,150.0,0,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,,,,,,,,multi_shot
0.0,900,150.0,0,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,,,,,,,,multi_shot
0.0,900,150.0,0,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,,,,,,,,multi_shot
0.0,900,150.0,0,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,,,,,,,,multi_shot
0.0,900,150.0,0,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,,,,,,,,multi_shot
0.0,900,150.0,0,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,,,,,,,,multi_shot
0.0,900,150.0,0,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,,,,,,,,multi_shot
0.0,900,150.0,0,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,,,,,,,,multi_shot
0.0,900,150.0,0,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,,,,,,,,multi_shot
293.43,900,300.0,1,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,3.0,30291020.0,,,,,30291020.0,multi_shot
